(Cycle %):,Rt Biceps Fem,L.Biceps Fem. M(uV),R.Glut.Max. M(uV),L.Glut.Max. M(uV),R.Rectus Fem. M(uV),L.Rectus Fem. M(uV),R.Vmo M(uV),L.Vmo M(uV),R.Glut.Med. M(uV),L.Glut.Med. M(uV),R.Tib.Ant. M(uV),L.Tib.Ant. M(uV),R.Med. Gastro M(uV),L.Med. Gastro M(uV),R.Soleus M(uV),L.Soleus M(uV)
32.0,2.797467046634768,0.7467330386072191,2.0388109660514817,2.123590578589372,2.955184866852239,1.9361583289990072,6.056257915129142,2.3423012190919144,33.46449615556592,25.812177183473917,2.293953137465746,4.366711713936368,17.826232671824265,24.543809841593333,26.17589677443216,24.75289027881617
32.5,2.6809125425027616,0.7302942935462357,1.9667033436964403,1.9906996033054478,2.66017723204048,1.7602856518038679,5.191179690196081,2.273654741159502,32.993965604913875,24.868763304154875,2.336171910229283,4.440997305644478,20.36493934391561,26.359665038746886,26.38340661017184,24.346724046755046
33.0,2.5785754709759834,0.7146766159634304,1.8970460781200595,1.8697468565271043,2.4209671134445396,1.5974602818100148,4.549413465407208,2.216915333376691,32.426371118990815,23.870493839612273,2.3888315585001214,4.541957066908915,22.927319217745133,28.37726694476495,26.615758141742525,23.931525693393386
33.5,2.4904181866018162,0.702096192229988,1.82318628283562,1.7585907995417789,2.2244289738775707,1.478556905763866,4.053320073642176,2.1639929955550583,31.740048872861813,22.844779993736097,2.4558951056228104,4.664652260519885,25.606781676027353,30.55365750170675,26.867434416844272,23.478603275041486
34.0,2.41634866716275,0.6949083726964447,1.7381622592692296,1.6558309340168127,2.057148290603868,1.4495513972291836,3.6784775810676207,2.1066153833997574,30.87342769662918,21.818913531619433,2.543190016996774,4.802188608877455,28.53866302527514,32.81240274892623,27.13732588082458,22.979437535330696
34.5,2.366719412128612,0.6939933695322037,1.6563069162494906,1.5605358605756319,1.9335137473222224,1.4565404983687171,3.490300935264117,2.03906904824278,29.971006950264105,20.817943423169,2.6331558500121406,4.946025588645095,31.193875520319413,35.059875765790764,27.355022044693477,22.45143169094987
35.0,2.3302451513702733,0.698077832326192,1.5737399627680035,1.4653359666327874,1.828015377760045,1.467194075369994,3.4396335066599732,1.951975424876963,28.97365853880256,19.77605889128946,2.7268895903430574,5.098073842601947,33.74200782628983,37.37351415338996,27.518396262033658,21.900358321632414
35.5,2.2992294812414804,0.7037557226837635,1.4863394287916252,1.3850860524642992,1.7235331186761107,1.4751288476996547,3.4751134292010417,1.860268495618575,27.77664272642617,18.84963186308598,2.8265808734260642,5.225852443502593,36.32708924059216,39.318164880898216,27.62336475530467,21.491770227392916
36.0,2.2739442855666914,0.7093570728526911,1.4089820009546323,1.312878805905208,1.6290115389133026,1.4813939193342474,3.5257967609528955,1.7620883505820726,26.56691156125556,17.936309925098605,2.912119740539041,5.335676988627435,38.51262562099287,41.033719697454835,27.661374707393488,21.28744483852732
36.5,2.2495667635827927,0.7139390468728637,1.3351960520388646,1.2497679999728057,1.532471721365727,1.4865729467114284,3.5489835503141136,1.663756252123549,25.27969514970084,17.006007771484384,2.987933157584377,5.425626857950444,40.49125530841412,42.50309424595707,27.66320855466637,21.370836676452885
37.0,2.22359976693282,0.717303336073704,1.2598928959122009,1.196732623792835,1.4250017245911786,1.4904221239774929,3.5149879215593143,1.572936730849766,23.836292389480686,16.032190082863984,3.0555820527940614,5.496555106080582,42.425323674916434,43.73017201573319,27.64851466076137,21.70304208683601
37.5,2.199034017685834,0.7199509307808805,1.1961836196670335,1.1509240909508092,1.3256279842418977,1.491715033807745,3.4208995986575625,1.4924621985472037,22.48332885436262,14.91528471554987,3.1020760345485447,5.55425352483661,44.064838384672896,44.80086163281065,27.63047669241758,22.203928773318257
38.0,2.1656006729333797,0.7220383904711639,1.1400402395576201,1.1187534205132215,1.2305843660682492,1.4888263038441534,3.272968518658898,1.4407494099648623,21.109190109296353,13.8354850011413,3.132986749453675,5.591847791112368,45.58421523284277,45.55633699699545,27.605804511880706,22.70246197961305
38.5,2.103263986226784,0.7241815157531885,1.089455477017332,1.0948361722884892,1.13871958893204,1.481031904581777,3.0712264878587416,1.4087662536977863,19.58541586532862,12.737371337873777,3.1519910506781366,5.617140111974642,47.05685881138288,46.083933551512786,27.564720168775587,23.19830549426503
39.0,2.008736254704113,0.7265681779990794,1.0526262789687557,1.0771259870623868,1.0698711124452092,1.4677998959761691,2.8695957790925557,1.3873347430558807,18.150972940388403,11.667193082104884,3.1611788476880918,5.6356229618355345,48.19642522183234,46.37465598164087,27.52444487593792,23.687823674757016
39.5,1.87357234849483,0.7292192518057397,1.024792911285672,1.0636988792614073,1.0203054297587997,1.4493075913754787,2.6728791429687675,1.3681642993336538,16.704019199160037,10.678186759811233,3.166945610322938,5.655298092699599,49.061349237401785,46.4247743400596,27.523843867167813,24.19732649209504
40.0,1.6852154177369478,0.7319225121046569,1.0038339691953229,1.053263127122418,0.9887826996470648,1.426101706936498,2.4779860677823966,1.34788155656223,15.142451154125641,9.813642299382634,3.1714723021957054,5.682411261119018,49.6227979791524,46.23065979247861,27.637473050920853,24.76768928135086
40.5,1.4832057361631001,0.7346849170947989,0.9917433046518512,1.0444046352415688,0.975866910036002,1.396793288098728,2.3156838433031055,1.3251310902171778,13.729285707386666,9.035817040996703,3.173024558604183,5.719342040476693,49.76655708198171,45.740314027111026,27.893664597039024,25.490190603402684
41.0,1.2683673209028048,0.7370367883458516,0.9850971314713755,1.0377964586428083,0.9716812806347989,1.3676695706652797,2.1629288084990663,1.3056020364189804,12.370362205744408,8.450931888035418,3.1694040722883203,5.754337233938005,49.55371650041906,45.03618535741022,28.291778970549025,26.26127733000237
41.5,1.038734242763812,0.7390720615438783,0.9820560037433396,1.031990509244309,0.9693973625873715,1.338782271029363,1.996237315251808,1.2897563335705833,10.993956514402495,7.963840567785498,3.155932394463908,5.783376011006899,48.93828599991998,44.118786838379066,28.811728609096193,27.119038230091725
42.0,0.8447095799729539,0.7405715534213986,0.9812034138504908,1.026232149594977,0.9635943463240106,1.3123773582675304,1.8334102868980857,1.2785604054360427,9.837848003240769,7.540808255609642,3.132236636719969,5.801564532084582,48.041988237183034,43.04092943096958,29.27590771587387,28.05212189317821
42.5,0.6803035227359711,0.7416013668686052,0.9806059295948721,1.0194880022843082,0.9506692345984686,1.2896664735921322,1.6603363303698702,1.2706223586696417,8.800143402817035,7.145273408677095,3.09798293385133,5.807231608317233,46.86896446369754,41.864014958736526,29.639248338364855,29.066545934462702
43.0,0.5566089310908355,0.7423702478545263,0.978847043359231,1.0106635030814364,0.9272614051409598,1.2695044682963734,1.4656552971529655,1.263194875401233,7.795391906149561,6.738146362955924,3.052802733358771,5.802991278389633,45.32501549721778,40.63646158322782,29.86182962480101,30.21617256879228
43.5,0.5358035442775357,0.7431669616363179,0.9753158442754631,0.9979774356603587,0.8979200498173798,1.2470226133623339,1.2871583672556308,1.2534820126656214,6.952116299457353,6.249993364511283,3.008368309688161,5.794326039466996,43.64319974809551,39.279753164369716,29.90148079314665,31.749547539160083
44.0,0.5418309995244125,0.7439880291144961,0.9695961073565083,0.9832586060962468,0.8636006853618564,1.2229597144073006,1.1191681169453869,1.2426750852914559,6.165667752035849,5.742570906832429,2.9650352076034547,5.790619492247929,41.693382155414874,38.009196791795915,29.806814206614483,33.479292793449915
44.5,0.5426633823100672,0.7448578039854477,0.9617415390523095,0.9665002158535052,0.8275940181855809,1.1949072651189183,0.9711840264543562,1.2308774216057101,5.421342361726221,5.186025926181515,2.9249540393353914,5.797199486570875,39.48509227404588,36.71440325149545,29.6192532388979,35.334946388519114
45.0,0.5368408856385526,0.7456649550656905,0.9511479418010055,0.9492931222614649,0.7909674303964322,1.1642320558891674,0.8453689238711019,1.2189278044979428,4.660188162222448,4.600258253220866,2.8856706788303446,5.815607507080104,36.86544154210437,35.39500179569251,29.363246618555145,37.08441984718905
45.5,0.5277641487296542,0.7463155466691623,0.9401381195626415,0.9335001240732747,0.7629544763861519,1.1342291597711476,0.7761478229385943,1.2068991716107247,4.009551854833624,4.013714228080326,2.8523448610773876,5.842431335339758,34.333214343798694,34.06940623058489,29.124700073508,38.579375535658926
46.0,0.5177713724737286,0.7466878103139295,0.9290678775680914,0.9202021884486081,0.7429072691984286,1.1073735755827698,0.752584659081572,1.1921900803590477,3.424333139970581,3.412233717837786,2.820632002497485,5.874762603881848,31.792413663739733,32.66631689048223,28.923708871351756,39.842858184868426
